epoch,training_loss,training_rmse,validation_loss,validation_rmse,validation_mae,validation_mape,cvalidation_rmse,cvalidation_mae,cvalidation_mape,validation_conAccuracy,validation_nonconAccuracy,test_rmse,test_mae,test_mape,ctest_rmse,ctest_mae,ctest_mape,test_conAccuracy,test_nonconAccuracy
0,255.4887687,3.662135589,26.55100275,3.54,1.258890339,0.02722219,3.85,1.342898667,0.030462447,87.18674784,84.99855372,3.03423373,1.239720475,0.026935504,6.21,1.303795372,0.029511295,87.69986151,85.33691639
1,178.2687348,2.93876477,25.0345431,3.050479223,1.205742623,0.025967079,3.268143342,1.277912772,0.02881005,87.92563358,85.6359157,2.924279285,1.190278901,0.02571836,3.198675834,1.242572894,0.027892728,88.41657524,85.94620388
2,170.7365284,2.865888555,24.04537833,2.938756283,1.17314332,0.024924387,3.138377772,1.245036333,0.027768778,88.34064845,86.40493931,2.842600905,1.158735706,0.024708391,3.071107751,1.206856233,0.026781514,88.92555889,86.6001959
3,166.3808656,2.826847793,23.72022664,2.854630453,1.168571681,0.024332747,3.072050278,1.25058557,0.027343055,88.31056208,86.62936254,2.796196953,1.155290566,0.024150771,2.995676703,1.208572693,0.026311185,88.95028866,86.83677826
4,163.424902,2.801147773,23.50376454,2.806021027,1.160661419,0.024445122,3.045221241,1.237557798,0.027316982,88.48223135,86.83882422,2.798375782,1.147769552,0.024231014,2.956615747,1.198128535,0.026331498,89.10765993,87.05979858
5,160.6080796,2.773305715,23.13739055,2.808950848,1.145753976,0.024058346,3.030412136,1.222024418,0.026939917,88.61142574,86.99941151,2.765639807,1.133518392,0.02383712,2.949190874,1.183098823,0.025911434,89.1854463,87.20245121
6,159.0149345,2.759840244,22.98698114,2.775894646,1.139465737,0.023738594,3.00072633,1.215805567,0.026661306,88.71584313,87.15301675,2.755332376,1.126996182,0.02355708,2.915190495,1.179048412,0.025716831,89.31404111,87.30542231
7,157.3851108,2.743235038,22.65103844,2.764682299,1.124274126,0.02337751,2.988245136,1.197910304,0.026156267,88.86892963,87.26373221,2.73104009,1.112456997,0.023176649,2.912861969,1.163403113,0.02523834,89.38193558,87.47419444
8,155.7411993,2.725933173,22.50733693,2.740500848,1.119262937,0.023379095,2.956407145,1.191956196,0.026241663,88.8353037,87.35150663,2.719678181,1.107354638,0.023189976,2.878751926,1.155964678,0.025270921,89.43589144,87.42948992
9,153.3851164,2.704176305,22.33214335,2.731486199,1.111961568,0.023131367,2.955837035,1.184095593,0.025949734,88.89370664,87.39838615,2.703383094,1.099263172,0.022889048,2.86554755,1.151717154,0.025047322,89.47141238,87.52341964
10,152.3222244,2.697313825,22.19647176,2.726537427,1.111046661,0.023016445,2.935438594,1.185013468,0.025894871,88.95299448,87.51508623,2.699707974,1.100473885,0.022844285,2.858110684,1.153455099,0.025004563,89.51277855,87.65150564
11,151.3845032,2.684937412,22.28443397,2.713069997,1.113389981,0.022891352,2.927164168,1.191515068,0.025784789,88.96803766,87.557976,2.699707974,1.100473885,0.022844285,2.85207456,1.153455099,0.025004563,89.51277855,87.65150564
12,151.3113615,2.683955642,22.10533468,2.714569319,1.103131643,0.022958682,2.944524434,1.177474458,0.025793851,88.90963472,87.5470042,2.701903819,1.091815804,0.022745321,2.85207456,1.14418486,0.024897062,89.56583515,87.68365271
13,150.5717161,2.677893787,22.2685904,2.719055393,1.11220353,0.022805854,2.935046994,1.192423349,0.025729045,88.92113833,87.49812981,2.701903819,1.091815804,0.022745321,2.861941905,1.14418486,0.024897062,89.56583515,87.68365271
14,150.5561913,2.675438617,22.17310878,2.71604377,1.111946742,0.022849016,2.942057854,1.192935367,0.025749431,88.97334702,87.63876837,2.701903819,1.091815804,0.022745321,2.861941905,1.14418486,0.024897062,89.56583515,87.68365271
15,150.3207462,2.673392676,22.26467021,2.703064588,1.112493665,0.022860774,2.930185033,1.192813862,0.025743976,88.96626787,87.59288628,2.701903819,1.091815804,0.022745321,2.861941905,1.14418486,0.024897062,89.56583515,87.68365271
16,150.356837,2.67440879,22.275883,2.71636212,1.113571143,0.022773727,2.940333603,1.196913424,0.025809345,88.93972108,87.64475298,2.701903819,1.091815804,0.022745321,2.861941905,1.14418486,0.024897062,89.56583515,87.68365271
17,150.3143042,2.671678214,22.07080411,2.711718703,1.106634764,0.022834554,2.938232168,1.183179344,0.025750471,89.06272122,87.63278375,2.686506612,1.096222699,0.022657191,2.861941905,1.151746938,0.024881249,89.59820867,87.72182736
18,149.74351,2.667485757,22.06031248,2.697119186,1.102151603,0.022915184,2.915029097,1.174429766,0.025774655,89.05741186,87.66071197,2.69422827,1.08950858,0.022646582,2.843367269,1.139002496,0.024806677,89.68453805,87.74543537
19,147.8454223,2.649228489,22.00633324,2.715753301,1.103841426,0.022717239,2.932468353,1.17889508,0.025709585,88.90698004,87.70060943,2.676038151,1.092753131,0.022460457,2.851014156,1.14307853,0.024644432,89.59910793,87.78411231
20,146.8127703,2.632311311,21.93156717,2.694603887,1.100995239,0.022824843,2.925173331,1.176965277,0.025696295,89.04767804,87.69462481,2.677327575,1.089532582,0.022545753,2.835348272,1.145365151,0.024704655,89.65216453,87.77155486
21,146.4779495,2.632290198,22.02455881,2.702188091,1.104913799,0.022738039,2.916136843,1.181122995,0.025649848,89.05918165,87.68564788,2.677327575,1.089532582,0.022545753,2.832461849,1.145365151,0.024704655,89.65216453,87.77155486
22,146.4223296,2.628317563,21.98666545,2.708656773,1.101733497,0.022735634,2.927085062,1.176036698,0.025673738,88.98131106,87.69861456,2.677327575,1.089532582,0.022545753,2.832461849,1.145365151,0.024704655,89.65216453,87.77155486
23,146.3969794,2.629194045,21.91671891,2.69120014,1.10230775,0.022754112,2.922514556,1.179292822,0.025746148,89.05652697,87.75945819,2.678960688,1.092759022,0.022528232,2.832461849,1.145840352,0.024746322,89.68004173,87.75548133
24,145.7530665,2.621150766,21.99137589,2.696918903,1.10164225,0.022682829,2.916711647,1.17469132,0.025580697,89.1166997,87.69761712,2.678960688,1.092759022,0.022528232,2.832501138,1.145840352,0.024746322,89.68004173,87.75548133
25,145.5305102,2.618706834,22.16453927,2.702501506,1.109680305,0.022724785,2.9246587,1.184839294,0.025613569,88.9379513,87.65273248,2.678960688,1.092759022,0.022528232,2.832501138,1.145840352,0.024746322,89.68004173,87.75548133
26,145.8626789,2.61988709,21.93176749,2.717154204,1.098530011,0.022582601,2.935433868,1.174218403,0.02553159,89.06006654,87.74848639,2.678960688,1.092759022,0.022528232,2.832501138,1.145840352,0.024746322,89.68004173,87.75548133
27,145.5688287,2.6195513,21.90564378,2.692041142,1.09958226,0.022719703,2.916963755,1.173007417,0.025614115,89.0786493,87.74848639,2.677800208,1.086906169,0.022417334,2.832501138,1.139520215,0.024669315,89.72905164,87.84589497
28,145.3107222,2.617180632,21.8892462,2.704436737,1.098973436,0.022722673,2.921303792,1.173680832,0.02569062,89.09280759,87.78738642,2.672689368,1.086052229,0.022428567,2.84043553,1.140452131,0.024691231,89.78885272,87.85443404
29,143.8352259,2.599985497,22.21333488,2.695062268,1.109175004,0.022764029,2.920946714,1.17863246,0.025604859,88.99458445,87.5988709,2.672689368,1.086052229,0.022428567,2.83633216,1.140452131,0.024691231,89.78885272,87.85443404
30,143.7661689,2.599157315,22.05343604,2.726836872,1.100506253,0.022650953,2.947748424,1.17544919,0.025528317,89.02821039,87.628794,2.672689368,1.086052229,0.022428567,2.83633216,1.140452131,0.024691231,89.78885272,87.85443404
31,143.9401363,2.599946904,22.10803863,2.711067941,1.105080235,0.022674306,2.9336022,1.177510984,0.025508246,89.02024635,87.65472735,2.672689368,1.086052229,0.022428567,2.83633216,1.140452131,0.024691231,89.78885272,87.85443404
32,143.8841361,2.600511137,21.97637051,2.710767319,1.100595097,0.022669244,2.928136125,1.17385359,0.02553115,88.98573552,87.70958636,2.672689368,1.086052229,0.022428567,2.83633216,1.140452131,0.024691231,89.78885272,87.85443404
33,143.8271467,2.598516529,21.99210785,2.710667482,1.100004143,0.02273882,2.935338493,1.173320595,0.025602631,89.01670678,87.70060943,2.672689368,1.086052229,0.022428567,2.83633216,1.140452131,0.024691231,89.78885272,87.85443404
34,,,,2.710656002,,,2.930051711,,,,,,,,2.83633216,,,,
35,,,,2.71,,,2.933091029,,,,,,,,,,,,
36,,,,2.71,,,2.934048822,,,,,,,,,,,,
37,,,,2.71,,,2.935006615,,,,,,,,,,,,
38,,,,2.71,,,2.935964408,,,,,,,,,,,,
39,,,,2.71,,,2.936922201,,,,,,,,,,,,
40,,,,2.71,,,2.937879994,,,,,,,,,,,,
